feature,importance
has_deposit,21.996540120832016
income_avg,8.69849738930818
cash_share,8.588475133566675
travel_share,8.523959462237386
banner_ctr,7.747312861172691
spend_avg,7.213836108481793
balance_avg,7.051202452595498
sessions_week,4.5505628215447
age_group,4.333516958591495
complaints_6m,4.3176797226646055
region,4.24268605782859
invest_views_3m,4.211156246967368
days_since_last_ticket,4.190842707389648
has_credit_card,2.0004644252274635
tickets_6m,1.5255744761423484
has_loan,0.8076930554494772
